"Recorded Crime Offences (Number) by Type of Offence, Garda Station and"
"Year"

" ","Oughterard, Galway Division",1
" ","Oulart, Wexford Division",8
" ","Oylegate, Wexford Division",1
" ","Pallasgreen, Limerick Division",0
" ","Pallaskenry, Limerick Division",0
" ","Partry, Mayo Division",1
" ","Passage East, Waterford Division",0
" ","Passage West, Cork City Division",12
" ","Patrickswell, Limerick Division",7
" ","Pearse Street, D.M.R. South Central Division",281
" ","Pettigo, Donegal Division",1
" ","Piltown, Kilkenny/Carlow Division",7
" ","Portarlington, Laois/Offaly Division",16
" ","Portlaoise, Laois/Offaly Division",87
" ","Portlaw, Waterford Division",4
" ","Portmagee, Kerry Division",0
" ","Portroe, Tipperary Division",4
" ","Portumna, Galway Division",9
" ","Raheny, D.M.R. Northern Division",22
" ","Ramelton, Donegal Division",9
" ","Raphoe, Donegal Division",13
" ","Rathangan, Kildare Division",11
" ","Rathcoole, D.M.R. Western Division",13
" ","Rathcormac, Co Cork, Cork North Division",5
" ","Rathdowney, Laois/Offaly Division",3
" ","Rathdrum, Wicklow Division",7
" ","Rathfarnham, D.M.R. Southern Division",55
" ","Rathgormack, Co Waterford, Waterford Division",2
" ","Rathkeale, Limerick Division",10
" ","Rathmines, D.M.R. Southern Division",37
" ","Rathmore, Co Kerry, Cork West Division",3
" ","Rathmullen, Donegal Division",2
" ","Rathvilly, Kilkenny/Carlow Division",0
" ","Rhode, Laois/Offaly Division",3
" ","Riverstown, Sligo/Leitrim Division",1
" ","Robertstown, Kildare Division",8
" ","Rochfortbridge, Westmeath Division",2
" ","Rockcorry, Cavan/Monaghan Division",0
" ","Ronanstown, D.M.R. Western Division",77
" ","Roosky, Roscommon/Longford Division",2
" ","Ros Muc, Galway Division",1
" ","Roscommon, Roscommon/Longford Division",18
" ","Roscrea, Tipperary Division",12
" ","Rosscarbery, Cork West Division",2
" ","Rosses Point, Sligo/Leitrim Division",0
" ","Rosslare Harbour, Wexford Division",7
" ","Rosslare Strand, Wexford Division",3
" ","Roundwood, Wicklow Division",3
" ","Roxboro Road, Limerick Division",84
" ","Santry, D.M.R. Northern Division",61
" ","Scariff, Clare Division",4
" ","Schull, Cork West Division",8
" ","Scotstown, Cavan/Monaghan Division",6
" ","Shankill, D.M.R. Eastern Division",35
" ","Shannon, Clare Division",17
" ","Shercock, Cavan/Monaghan Division",1
" ","Shevry, Tipperary Division",0
" ","Shillelagh, Wicklow Division",1
" ","Shinrone, Laois/Offaly Division",5
" ","Shrule, Mayo Division",4
" ","Sixmilebridge, Clare Division",2
" ","Skerries, D.M.R. Northern Division",17
" ","Skibbereen, Cork West Division",19
" ","Skreen, Sligo/Leitrim Division",1
" ","Slane, Meath Division",5
" ","Sligo, Sligo/Leitrim Division",51
" ","Smear, Roscommon/Longford Division",1
" ","Sneem, Kerry Division",2
" ","Sraith Salach, Galway Division",0
" ","Stoneyford, Kilkenny/Carlow Division",2
" ","Store Street, D.M.R. North Central Division",222
" ","Stradbally Co Laois, Laois/Offaly Division",2
" ","Strokestown, Roscommon/Longford Division",3
" ","Stuake, Cork West Division",3
" ","Summerhill, Meath Division",4
" ","Sundrive Road, D.M.R. Southern Division",50
" ","Swanlinbar, Cavan/Monaghan Division",2
" ","Swinford, Mayo Division",7
" ","Swords, D.M.R. Northern Division",82
" ","Taghmon, Wexford Division",5
" ","Tallaght, D.M.R. Southern Division",164
" ","Tallow, Waterford Division",2
" ","Tarbert, Kerry Division",0
" ","Tarelton, Cork West Division",3
" ","Taughmaconnell, Roscommon/Longford Division",0
" ","Templederry, Tipperary Division",0
" ","Templemore, Tipperary Division",5
" ","Templetuohy, Tipperary Division",0
" ","Terenure, D.M.R. Southern Division",25
" ","Thomastown, Kilkenny/Carlow Division",4
" ","Thurles, Tipperary Division",26
" ","Timoleague, Cork West Division",2
" ","Tinahely, Wicklow Division",3
" ","Tipperary, Tipperary Division",23
" ","Togher, Cork City Division",30
" ","Toomevara, Tipperary Division",0
" ","Tralee, Kerry Division",68
" ","Tramore, Waterford Division",33
